Label,Type,Length_mm,Width_mm,Height_mm,Qty,Floor
C1,Column,611,230,3200,50,
C13,Column,230,230,3200,32,
C41,Column,1284,641,3200,2,
C42,Column,724,565,3200,1,
C43,Column,812,592,3200,1,
SW1,Wall,1235,230,3200,65,
SW2,Wall,1235,300,3200,53,
C85,Column,1235,600,3200,128,
SW16,Wall,1980,300,3200,3,
C87,Column,1165,300,3200,3,
SW17,Wall,1650,300,3200,4,
C89,Column,840,230,3200,2,
C90,Column,230,187,3200,2,
C92,Column,569,230,3200,1,
C93,Column,228,211,3200,1,
C94,Column,289,228,3200,4,
C95,Column,328,230,3200,1,
C99,Column,269,228,3200,1,
SW47,Wall,1219,230,3200,1,
C103,Column,461,230,3200,4,
C104,Column,762,230,3200,4,
C111,Column,822,300,3200,2,
SW70,Wall,1235,270,3200,6,
SW71,Wall,1823,300,3200,2,
C123,Column,1180,300,3200,2,
C131,Column,1080,600,3200,2,
SW82,Wall,1280,300,3200,2,
SW84,Wall,1320,125,3200,2,
SW95,Wall,1910,300,3200,2,
SW120,Wall,1235,260,3200,11,
C184,Column,1235,440,3200,3,
C190,Column,1080,440,3200,1,
SW137,Wall,1235,100,3200,10,
SW153,Wall,1085,230,3200,2,
SW155,Wall,1085,100,3200,1,
C248,Column,750,230,3200,2,
SW161,Wall,750,100,3200,1,
C250,Column,1320,600,3200,2,
