Label,Type,Length_mm,Width_mm,Height_mm,Qty,Floor
SW1,Wall,1200,250,3200,30,
SW3,Wall,2500,250,3200,2,
SW14,Wall,3500,250,3200,3,
SW18,Wall,3587,250,3200,4,
C1,Column,900,250,3200,3,
C2,Column,1225,442,3200,3,
C4,Column,1223,409,3200,9,
C14,Column,1225,450,3200,2,
SW40,Wall,2200,250,3200,5,
SW43,Wall,1800,549,3200,1,
H2,Column,1294,1223,3200,3,
H4,Column,1255,604,3200,6,
C17,Column,850,250,3200,2,
C18,Column,882,552,3200,1,
C19,Column,605,181,3200,24,
H1,Column,605,159,3200,38,
C79,Column,586,300,3200,2,
C81,Column,262,168,3200,3,
H3,Column,620,162,3200,1,
C86,Column,383,164,3200,1,
SW46,Wall,3531,250,3200,4,
C87,Column,1203,432,3200,2,
SW47,Wall,5438,245,3200,2,
B1,Column,1182,391,3200,66,
SW48,Wall,3531,391,3200,6,
C89,Column,984,490,3200,2,
SW52,Wall,1771,490,3200,2,
SW53,Wall,1969,490,3200,2,
B4,Column,1474,443,3200,2,
SW54,Wall,1474,297,3200,2,
C90,Column,1500,495,3200,7,
SW55,Wall,500,125,3200,1,
SW56,Wall,1505,495,3200,2,
C93,Column,323,302,3200,7,
C96,Column,432,292,3200,2,
C98,Column,292,271,3200,1,
C103,Column,385,297,3200,10,
C105,Column,385,255,3200,13,
C108,Column,391,297,3200,7,
C110,Column,391,255,3200,11,
C132,Column,365,276,3200,2,
C145,Column,255,240,3200,1,
C147,Column,1260,844,3200,1,
C148,Column,531,484,3200,1,
