Label,Type,Length_mm,Width_mm,Height_mm,Qty,Floor
SW1,Shear Wall,1725,200,4200,25,
SW3,Shear Wall,3440,200,4200,9,
SW4,Shear Wall,3600,200,4200,17,
SW7,Shear Wall,1150,240,4200,25,
C1,Column,950,240,4200,8,
SW9,Shear Wall,2275,200,4200,8,
SW10,Shear Wall,1325,200,4200,5,
SW11,Shear Wall,1300,200,4200,5,
SW16,Shear Wall,4175,200,4200,5,
SW17,Shear Wall,3975,200,4200,9,
SW20,Shear Wall,1250,200,4200,14,
C3,Column,1000,250,4200,8,
SW22,Shear Wall,1450,200,4200,8,
SW23,Shear Wall,4075,200,4200,20,
C5,Column,600,240,4200,12,
SW24,Shear Wall,1200,240,4200,88,
SW30,Shear Wall,2050,200,4200,6,
C29,Column,1284,492,4200,7,
P4,Column,900,600,4200,1,F31
P1,Column,600,400,4200,10,
C33,Column,750,400,4200,2,
C34,Column,600,350,4200,5,
C35,Column,150,150,4200,6,
C36,Column,157,156,4200,1,
C37,Column,900,300,4200,2,
C40,Column,600,300,4200,3,
C42,Column,750,350,4200,7,
C53,Column,1100,750,4200,1,
C60,Column,264,264,4200,1,
H1,Column,750,375,4200,98,
SW173,Shear Wall,1400,350,4200,1,
SW174,Shear Wall,4000,230,4200,2,
SW176,Shear Wall,12575,230,4200,1,
C63,Column,300,150,4200,1,
SW177,Wall,1813,300,4200,1,
P03,Column,774,750,4200,9,
AC28,Column,700,650,4200,4,
AC27,Column,1200,700,4200,6,
AC26,Column,700,700,4200,6,
AC25,Wall,1360,300,4200,2,
AC3,Column,900,700,4200,19,
AC2,Column,1300,700,4200,6,
AC1,Column,800,700,4200,4,
P89,Column,750,699,4200,3,
SW178,Wall,2470,600,4200,3,
SW179,Wall,2470,300,4200,1,
AC60,Wall,1500,300,4200,2,
AC47,Wall,1600,400,4200,1,
AC55,Wall,1700,300,4200,1,
AC70,Wall,1349,300,4200,1,
AC15,Wall,2000,300,4200,1,
AC21,Column,500,300,4200,2,
AC44,Column,900,650,4200,1,
C78,Column,1043,453,4200,2,
